t1550845698.83 U20.7860654968 I-71.9802 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845698.94 U20.8246062387 I-71.9943 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.05 U20.7940062387 I-71.9943 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.15 U20.8161062387 I-71.9943 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.26 U20.8260312456 I-71.9978 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.37 U20.7950062387 I-71.9943 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.48 U20.8246062387 I-71.9943 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.59 U20.8115812318 I-71.9908 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.69 U20.8135654968 I-71.9802 T_a14.5 T_p18.7947769654 R0.407144818947, 
t1550845699.81 U20.7897062387 I-71.9943 T_a14.5 T_p18.7947769654 R0.407144818947, 
